;Produit;Prix 1;Prix 2;Prix 3;Prix 4;Prix 5;Prix 6;Prix 7;Prix 8;Prix 9;Prix 10;Prix 11;Prix 12
5737; CERISE rouge Espagne cat.I +26mm (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6.00
5738; CERISE rouge Espagne cat.I +28mm (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 7.38
5739; CERISE rouge Grèce cat.I +26mm (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 4.88
5740; CERISE rouge Grèce cat.I +28mm (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 5.62
5741; CERISE rouge Italie cat.I +28mm (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6.50
5742; CERISE Belge France cat.I +26mm plateau (le kg) ; 5.50; 8.00; 8.00;  ;  ;  ;  ;  ;  ;  ;  ;  
5743; CERISE Burlat France cat.I +22mm plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 5.25
5744; CERISE Burlat France cat.I +24mm plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6.00
5745; CERISE rouge France cat.I +26mm plateau (le kg) ; 5.25; 5.99;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5746; CERISE Belge France cat.I +26mm (le kg) ;  ; 6.40;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5747; CERISE Burlat France cat.I +24mm plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 8.50
5748; CERISE Burlat France cat.I +26mm plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 11.00
5749; CERISE Espagne cat.I (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 8.00
5750; CERISE rouge Belgique cat.I +28mm plateau (le kg) ;  ; 6.43;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5751; CERISE rouge Belgique cat.I +30mm (le kg) ;  ; 7.75;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5752; CERISE rouge Espagne cat.I +24mm (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 4.65
5753; CERISE rouge Espagne cat.I +26mm (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 5.80
5754; CERISE rouge Espagne cat.I +28mm (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 5.90
5755; CERISE rouge Espagne cat.I +30mm (le kg) ;  ; 5.70;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5756; CERISE rouge France cat.I +26mm plateau (le kg) ;  ; 5.27;  ;  ;  ;  ;  ;  ;  ;  ;  ; 7.45
5757; CERISE rouge France cat.I +28mm plateau (le kg) ;  ; 5.77;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5758; CERISE rouge U.E. cat.I +26mm (le kg) ;  ; 6.50;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5759; CERISE rouge U.E. cat.I +28mm (le kg) ;  ; 6.50;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5760; CERISE rouge U.E. cat.I +30mm (le kg) ;  ; 7.60;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5761; CERISE Belge Belgique cat.I +28mm plateau (le kg) ;  ; 7.00;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5762; CERISE rouge Espagne cat.I +28mm plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 8.72
5763; CERISE rouge France cat.I +26mm plateau (le kg) ; 4.75; 5.00;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5764; CERISE rouge France cat.I +28mm plateau (le kg) ; 6.00; 6.93;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5765; CERISE rouge France cat.I +30mm plateau (le kg) ; 7.03;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5766; CERISE Amérique du sud cat.I +28mm (le kg) ;  ;  ;  ;  ;  ;  ; 18.34; 14.00;  ;  ;  ;  
5767; CERISE rose France cat.I +24mm plateau (le kg) ; 4.26;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5768; CERISE rose France cat.I +26mm plateau (le kg) ; 5.50;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5769; CERISE rose France cat.I +28mm plateau (le kg) ; 6.50;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5770; CERISE rouge Belgique cat.I +24mm (le kg) ;  ; 4.29;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5771; CERISE rouge Belgique cat.I +26mm (le kg) ;  ; 4.86;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
