;Produit;Prix moyen;Variation;Prix min;Prix max
197; RAISIN blanc Afrique du sud cat.I plateau ;2.81; =; 1.85; 3.60
198; RAISIN noir Afrique du sud cat.I plateau ;2.65; =; 2.30; 3.60
199; RAISIN Thom Sedles Afrique du sud cat.I plateau (le colis) ;12.50; =; 11.00; 14.00
200; RAISIN Thom Sedles Chili cat.I plateau (le colis) ;14.25; =; 13.00; 15.50
201; RAISIN Thom Sedles Afrique du sud cat.I plateau (le colis) ;13.50; +0.50; 13.00; 14.00
202; RAISIN Thom Sedles Chili cat.I plateau (le colis) ;14.00; =; 13.00; 15.00
203; CAROTTE Rhône-Alpes ;0.90; =; 0.70; 1.00
204; CAROTTE Rhône-Alpes avec fane botte (la botte) ;1.05; +0.05;  ;  
205; CAROTTE Sud-Est ;0.75; =;  ;  
206; CAROTTE Roussillon ;1.00; =; 0.90; 1.10
207; CAROTTE Roussillon botte (la botte) ;1.00; =; 1.00; 1.20
208; CAROTTE Sud-Est avec fane botte (la botte) ;1.50; =;  ;  
209; CAROTTE Manche cat.I colis 12kg ;0.65; =; 0.60; 0.75
210; CAROTTE Nord-Picardie cat.I sac 10kg ;0.70; -0.20;  ;  
211; CAROTTE Sud-Ouest cat.I colis 12kg ;0.74; +0.02; 0.63; 0.85
212; CAROTTE Sud-Ouest cat.I sachet 1kg ;0.76; +0.02; 0.60; 0.87
213; CAROTTE Sud-Ouest cat.I sachet 2kg ;0.63; +0.02; 0.53; 0.70
214; CAROTTE France avec fane biologique (la botte) ;1.80; =;  ;  
215; CAROTTE France lavée biologique ;1.23; +0.01; 1.15; 1.34
216; CAROTTE France non lavée biologique ;1.26; =; 1.15; 1.35
217; CAROTTE Espagne biologique cat.I vrac ;1.00; =;  ;  
218; CAROTTE Espagne avec fane cat.I colis de 12 bottes (la botte) ;0.80; =; 0.70; 0.85
219; CAROTTE France avec fane biologique (la botte) ;2.27; +0.04; 1.84; 2.59
220; CAROTTE France lavée biologique ;1.37; -0.03; 1.05; 1.90
