;Produit;Prix moyen;Variation;Prix min;Prix max
342; FRAISE standard France cat.I barq.500g ;9.00; =;  ;  
343; FRAISE Gariguette France biologique barq.250g ;18.44;  ;  ;  
344; FRAISE standard France biologique barq.250g ;19.00;  ;  ;  
345; FRAISE standard U.E. biologique barq.250g ;6.90; -0.30;  ;  
346; FRAISE standard U.E. biologique barq.500g ;5.21;  ;  ;  
347; FRAISE Gariguette France cat.I barq.250g ;15.90; =; 12.50; 20.00
348; FRAISE standard Espagne cat.I plateau 1kg ;4.68; =;  ;  
349; FRAISE standard France cat.I barq.500g ;11.93; =; 10.40; 12.90
350; FRAISE standard U.E. cat.I barq.500g ;2.54; =; 2.00; 4.00
351; FRAISE Gariguette France cat.I barq.250g ;10.80; =; 9.60; 11.60
352; FRAISE standard Espagne cat.I plateau 1kg ;3.00; =; 2.50; 3.80
353; FRAISE standard France cat.I barq.500g ;8.00; +0.60; 7.40; 9.60
354; FRAISE standard Espagne cat.I barq.500g ;2.60; -1.30; 2.00; 3.20
355; FRAISE standard Italie cat.I barq.500g ;3.70; -0.80; 3.00; 4.40
356; FRAISE standard Pays-Bas cat.I barq.500g ;7.50; -2.50; 7.00; 8.00
357; FRAISE standard Italie cat.I barq.500g ;4.50; =;  ;  
358; FRAISE standard Belgique cat.I barq.500g ;9.50;  ; 9.00; 10.00
359; FRAISE standard Espagne cat.I barq.500g ;3.75; +0.35; 3.00; 4.50
360; FRAISE standard Italie cat.I barq.500g ;5.90; -0.30; 5.80; 6.00
361; FRAISE Gariguette France barq.250g ;16.73; -1.56; 11.96; 19.96
362; FRAISE standard hors Fr. barq.500g ;5.83; -0.16; 3.98; 7.98
363; AIL blanc sec France biologique ;9.01; +0.03; 7.90; 10.40
364; AIL violet sec France biologique ;7.08; =;  ;  
365; AIL blanc Espagne biologique ;4.75;  ;  ;  
366; AIL blanc sec France biologique ;10.01; +2.90; 8.75; 12.64
367; AIL blanc sec U.E. biologique ;5.65; +0.21; 4.73; 7.19
368; AIL violet sec U.E. biologique ;5.80; -0.10; 4.28; 7.19
369; AIL blanc sec Espagne cat.I 70-90mm ;4.00; =;  ;  
370; AIL violet sec Argentine cat.I 70-90mm ;4.80; =; 4.50; 6.00
371; AIL violet sec Espagne cat.I 60-80mm sac 5kg ;4.20; =; 3.80; 4.50
372; AIL blanc sec France cat.I sac 5kg ;5.38; -0.57;  ;  
373; AIL violet sec Argentine cat.I ;5.20; =; 4.80; 5.72
374; AIL violet sec Espagne cat.I sac 5kg ;4.40; =; 3.85; 4.79
375; AIL violet sec France cat.I sac 5kg ;5.75; +0.35; 5.30; 6.50
376; AIL violet sec Espagne cat.I 60-80mm ;4.75; =;  ;  
377; AIL blanc sec Espagne cat.I 60-80mm sac 5kg ;3.40; -0.10; 3.30; 3.50
378; AIL blanc sec Espagne cat.I 70-90mm sac 5kg ;3.80; =; 3.60; 4.00
379; AIL violet sec Argentine cat.I 70-90mm sac 5kg ;4.80; =; 4.50; 5.50
380; AIL violet sec Espagne cat.I 70-90mm sac 5kg ;4.10; =; 3.80; 4.90
381; AIL blanc sec Espagne cat.I 70-90mm sac 5kg ;4.40; =; 3.90; 4.50
382; AIL violet frais Egypte cat.I 60-80mm ;4.80; =; 4.50; 5.50
383; AIL violet sec Espagne cat.I 70-90mm ;4.80; =; 4.30; 5.00
384; AIL blanc sec U.E. biologique ;5.51;  ; 5.26; 5.96
385; AIL violet sec U.E. biologique ;5.29; +0.05;  ;  
386; AIL blanc demi-sec France cat.I 60-80mm ;4.50; =;  ;  
387; AIL blanc sec Espagne cat.I 70-90mm sac 5kg ;3.75; =;  ;  
388; AIL rose Lautrec label rouge sec France cat.I 70-90mm plateau ;9.50; +0.50;  ;  
389; AIL violet sec Argentine cat.I 60-80mm sac 5kg ;5.20; -0.30;  ;  
390; AIL violet sec Espagne cat.I 70-90mm sac 5kg ;4.65; =; 4.00; 5.40
391; AIL violet sec France cat.I 70-90mm sac 5kg ;4.70; =;  ;  
392; AIL blanc sec Espagne cat.I 60-80mm sac 5kg ;3.80; =; 3.60; 4.00
393; AIL frais Egypte cat.I 60-80mm ;4.50; =; 4.20; 4.60
394; AIL violet sec Argentine cat.I 60-80mm sac 5kg ;4.70; =; 4.50; 5.00
395; AIL violet sec Espagne cat.I 60-80mm ;4.00; =; 3.80; 4.40
396; AIL blanc sec U.E. biologique ;5.38; +0.38;  ;  
397; AIL violet sec U.E. biologique ;6.30; =;  ;  
398; AIL blanc frais Egypte cat.I 50-70mm colis 5kg ;6.53; =; 5.80; 7.80
399; AIL blanc sec Espagne cat.I 60-80mm ;5.04; =; 4.30; 5.80
400; AIL blanc sec France cat.I 60-80mm ;5.73; =; 4.50; 6.50
401; AIL violet sec Espagne cat.I 60-80mm sac 5kg ;4.00; =; 3.80; 4.20
402; AIL blanc sec Espagne cat.I 60-80mm sac 5kg ;4.80; =;  ;  
403; AIL blanc sec France biologique ;12.32; +0.01; 6.89; 16.85
404; AIL blanc sec U.E. biologique ;8.91; +0.05; 6.59; 12.20
405; AIL blanc sec France 50-70 ou 60-80mm filet 3 têtes (le filet) ;2.93; -0.04; 2.49; 3.79
406; AIL blanc sec France biologique ;14.90; -0.36; 9.99; 21.93
407; AIL blanc sec France vrac ;9.20; -0.32; 7.99; 10.99
408; AIL blanc sec hors Fr. 50-70 ou 60-80mm filet 3 têtes (le filet) ;3.01; -0.05; 2.50; 3.69
409; AIL blanc sec hors Fr. biologique ;13.06; +0.03; 9.16; 14.99
410; AIL blanc sec hors Fr. vrac ;9.17; +0.34; 6.99; 11.90
411; CONCOMBRE Noa Roussillon ;0.65; =;  ;  
412; CONCOMBRE Roussillon 300-400g colis de 12 (la pièce) ;0.60; =;  ;  
413; CONCOMBRE Roussillon 400-500g colis de 12 (la pièce) ;0.70; =;  ;  
414; CONCOMBRE Centre-Ouest cat.I 300-400g colis de 12 (la pièce) ;0.50; =; 0.45; 0.50
415; CONCOMBRE Centre-Ouest cat.I 400-500g colis de 12 (la pièce) ;0.61; +0.01; 0.50; 0.70
416; CONCOMBRE Centre-Ouest cat.I 500-600g colis de 12 (la pièce) ;0.65; =; 0.65; 0.70
417; CONCOMBRE Grand-Est cat.I 300-400g colis de 12 (la pièce) ;0.55; -0.04; 0.45; 0.55
418; CONCOMBRE Grand-Est cat.I 400-500g colis de 12 (la pièce) ;0.67; -0.03; 0.65; 0.70
419; CONCOMBRE Grand-Est cat.I 500-600g colis de 12 ;0.80; =;  ;  
420; CONCOMBRE Pays de la Loire cat.I 300-400g colis de 12 (la pièce) ;0.49; +0.02; 0.45; 0.50
421; CONCOMBRE Pays de la Loire cat.I 400-500g colis de 12 (la pièce) ;0.61; +0.01; 0.50; 0.65
422; CONCOMBRE Pays de la Loire cat.I 500-600g colis de 12 (la pièce) ;0.66; +0.01; 0.65; 0.70
423; CONCOMBRE Roussillon cat.I 300-400g colis de 12 (la pièce) ;0.55; =; 0.50; 0.60
424; CONCOMBRE Roussillon cat.I 400-500g colis de 12 (la pièce) ;0.65; =; 0.60; 0.70
425; CONCOMBRE Belgique cat.I 250-300g (la pièce) ;0.22; +0.01;  ;  
426; CONCOMBRE Belgique cat.I 300-350g (la pièce) ;0.24; -0.01;  ;  
427; CONCOMBRE Belgique cat.I 350-400g colis de 12 (la pièce) ;0.26; -0.01;  ;  
428; CONCOMBRE Belgique cat.I 400-500g colis de 12 (la pièce) ;0.31; -0.02;  ;  
429; CONCOMBRE Belgique cat.I 500-600g colis de 12 (la pièce) ;0.49; +0.08;  ;  
430; CONCOMBRE Belgique cat.I 600-750g (la pièce) ;0.53; +0.11;  ;  
431; CONCOMBRE Espagne biologique cat.I colis de 12 (les 12 pièces) ;17.40; -1.70; 16.50; 18.00
432; CONCOMBRE Espagne cat.I 400-500g colis de 12 (la pièce) ;0.35; =;  ;  
433; CONCOMBRE Espagne cat.I 500-600g colis de 12 (la pièce) ;0.40; =;  ;  
434; CONCOMBRE Noa U.E. biologique ;3.46; +0.15; 2.76; 5.16
435; CONCOMBRE U.E. biologique (la pièce) ;1.67; -0.15; 1.07; 2.25
436; CONCOMBRE Belgique cat.I 350-400g colis de 12 (la pièce) ;0.50; =; 0.48; 0.50
437; CONCOMBRE Belgique cat.I 400-500g colis de 12 (la pièce) ;0.65; -0.03;  ;  
438; CONCOMBRE Espagne biologique (la pièce) ;1.40; -0.05;  ;  
439; CONCOMBRE Espagne cat.I 350-400g colis de 12 (la pièce) ;0.35; =;  ;  
440; CONCOMBRE Espagne cat.I 400-500g colis de 12 (la pièce) ;0.60; =; 0.50; 0.70
441; CONCOMBRE France cat.I 300-400g colis de 12 (la pièce) ;0.60; =; 0.55; 0.69
442; CONCOMBRE France cat.I 400-500g colis de 12 (la pièce) ;0.65; -0.10; 0.65; 0.84
443; CONCOMBRE Espagne cat.I 400-500g colis de 12 (les 12 pièces) ;8.50; -1.30; 7.20; 9.72
444; CONCOMBRE France cat.I 400-500g colis de 12 (les 12 pièces) ;10.55; -2.05; 9.00; 12.00
445; CONCOMBRE Noa U.E. cat.I ;1.91; +0.06;  ;  
446; CONCOMBRE Espagne cat.I 400-500g colis de 12 (les 12 pièces) ;8.00; -0.25;  ;  
447; CONCOMBRE France cat.I 500-600g colis de 12 (les 12 pièces) ;10.00; -0.20; 9.00; 11.50
448; CONCOMBRE Noa Espagne cat.I ;1.50;  ;  ;  
449; CONCOMBRE Espagne cat.I 400-500g colis de 12 (la pièce) ;0.70; -0.05; 0.65; 0.75
450; CONCOMBRE France cat.I 400-500g colis de 12 (la pièce) ;0.80; -0.05; 0.75; 0.85
451; CONCOMBRE France cat.I 500-600g colis de 12 (la pièce) ;1.00; =; 0.90; 1.00
452; CONCOMBRE Belgique cat.I colis de 12 (la pièce) ;0.60; =; 0.48; 0.66
453; CONCOMBRE Espagne cat.I colis de 12 (la pièce) ;0.65; =; 0.56; 1.00
454; CONCOMBRE France cat.I colis de 12 (la pièce) ;0.90; -0.05; 0.87; 1.00
455; CONCOMBRE Noa Espagne cat.I ;1.80; -0.10; 1.50; 2.00
456; CONCOMBRE France cat.I 300-400g colis de 12 (la pièce) ;0.68; =; 0.65; 0.70
457; CONCOMBRE France cat.I 400-500g colis de 12 (la pièce) ;0.72; =; 0.70; 0.75
458; CONCOMBRE France cat.I 500-600g colis de 12 (la pièce) ;0.82; =; 0.80; 0.85
459; CONCOMBRE U.E. biologique (la pièce) ;1.76; -0.30; 1.58; 2.06
460; CONCOMBRE Noa U.E. cat.I ;2.35; -0.15;  ;  
461; CONCOMBRE U.E. cat.I 300-400g colis de 12 ;0.80; =; 0.70; 0.90
462; CONCOMBRE Espagne cat.I 500-600g colis de 12 (la pièce) ;0.60; =; 0.55; 0.62
463; CONCOMBRE France cat.I 500-600g colis de 12 (la pièce) ;0.85; =; 0.75; 0.90
464; CONCOMBRE mini Espagne cat.I ;2.60; =; 2.40; 2.80
465; CONCOMBRE mini Pays-Bas (les 32 pièces) ;16.00; =; 15.00; 17.00
466; CONCOMBRE Pays-Bas cat.I 500-600g colis de 12 (la pièce) ;0.65; =; 0.60; 0.70
467; CONCOMBRE Noa U.E. biologique ;3.45; -0.13; 2.76; 3.84
468; CONCOMBRE U.E. biologique (la pièce) ;1.53; -0.09; 1.46; 1.65
469; CONCOMBRE France cat.I 300-400g (la pièce) ;0.78; =;  ;  
470; CONCOMBRE France cat.I 400-500g (la pièce) ;0.98; =;  ;  
471; CONCOMBRE Pays-Bas cat.I 350-400g (la pièce) ;0.73; =; 0.65; 0.80
472; CONCOMBRE Espagne cat.I 400-500g colis de 12 (les 12 pièces) ;7.00; =; 6.50; 9.00
473; CONCOMBRE France cat.I 400-500g colis de 12 (les 12 pièces) ;9.00; =; 9.00; 10.80
474; CONCOMBRE Allemagne cat.I 350-400g colis de 12 (la pièce) ;0.58; +0.05; 0.55; 0.60
475; CONCOMBRE Allemagne cat.I 400-500g colis de 12 (la pièce) ;0.63; +0.05; 0.60; 0.65
476; CONCOMBRE Allemagne cat.I 500-600g colis de 12 (la pièce) ;0.75; +0.10; 0.70; 0.80
477; CONCOMBRE courbe Espagne cat.II ;0.70; =; 0.60; 0.80
478; CONCOMBRE courbe Pays-Bas cat.II ;0.98;  ; 0.85; 1.10
479; CONCOMBRE Espagne cat.I 350-400g colis de 12 (la pièce) ;0.40; +0.05; 0.35; 0.45
480; CONCOMBRE Espagne cat.I 400-500g colis de 12 (la pièce) ;0.48; +0.03; 0.45; 0.50
481; CONCOMBRE Pays-Bas cat.I 350-400g colis de 12 (la pièce) ;0.58; +0.08; 0.55; 0.60
482; CONCOMBRE Pays-Bas cat.I 400-500g colis de 12 (la pièce) ;0.63; +0.05; 0.60; 0.65
483; CONCOMBRE Pays-Bas cat.I 500-600g colis de 12 (la pièce) ;0.75; +0.10; 0.70; 0.80
484; CONCOMBRE Allemagne cat.I 350-400g colis de 12 (la pièce) ;0.65; +0.05; 0.60; 0.70
485; CONCOMBRE Allemagne cat.I 400-500g colis de 12 (la pièce) ;0.75; +0.05; 0.70; 0.80
486; CONCOMBRE Allemagne cat.I 500-600g colis de 12 ;0.90; +0.10; 0.85; 0.95
487; CONCOMBRE Belgique cat.I 350-400g colis de 12 (la pièce) ;0.53; +0.02; 0.50; 0.56
488; CONCOMBRE Belgique cat.I 400-500g colis de 12 (la pièce) ;0.63; +0.04; 0.58; 0.68
489; CONCOMBRE courbe Allemagne cat.II ;0.95; =; 0.90; 1.00
490; CONCOMBRE courbe Espagne cat.II ;0.70; -0.05; 0.65; 0.75
491; CONCOMBRE Pays-Bas cat.I 350-400g colis de 12 (la pièce) ;0.53; +0.01; 0.50; 0.56
492; CONCOMBRE Pays-Bas cat.I 400-500g colis de 12 (la pièce) ;0.63; +0.04; 0.58; 0.68
493; CONCOMBRE Pays-Bas cat.I 500-600g colis de 12 (la pièce) ;0.79; +0.04; 0.74; 0.84
494; CONCOMBRE U.E. biologique (la pièce) ;2.48; +0.02; 1.94; 2.75
495; CONCOMBRE France (la pièce) ;1.16; -0.13; 0.95; 1.59
496; CONCOMBRE hors Fr. (la pièce) ;1.19; -0.06; 0.99; 1.55
497; CONCOMBRE hors Fr. biologique (la pièce) ;2.09; +0.07; 1.69; 2.69
498; MYRTILLE Espagne barq.125g ;15.85; =; 13.20; 19.75
499; MYRTILLE Espagne barq.125g ;8.00; =;  ;  
500; MYRTILLE Espagne barq.125g ;14.40; =; 14.40; 16.00
501; MYRTILLE Import de serre barq.125g ;16.00; +1.60; 14.40; 17.60
502; PHYSALIS Colombie barq.100g ;10.00; =;  ;  
503; RHUBARBE Belgique ;3.23;  ;  ;  
504; RHUBARBE Pays-Bas de serre ;6.57; =; 5.50; 8.20
505; CASSIS France barq.125g ;28.00; =; 16.00; 28.00
506; LACTAIRE France coupé cat.I moyen ;16.50; =;  ;  
507; FRAMBOISE Espagne barq.125g ;16.15; =;  ;  
508; FRAMBOISE Espagne cat.I barq.125g ;12.00; =;  ;  
509; FRAMBOISE U.E. biologique barq.125g ;19.15; +1.09; 13.12; 23.44
510; FRAMBOISE Espagne barq.125g fermée ;17.60; =; 16.80; 17.60
511; FRAMBOISE Espagne barq.125g ouverte ;19.20; =; 19.20; 20.00
512; FRAMBOISE Maroc barq.125g ;19.20; +0.80; 19.20; 20.00
513; FRAMBOISE Espagne barq.125g ;19.10; -0.15; 16.00; 21.60
514; FRAMBOISE U.E. barq.125g ;19.20; =; 16.00; 20.00
515; FRAMBOISE Espagne barq.125g ;18.50; +0.50; 16.80; 20.00
516; FRAMBOISE Espagne barq.125g ;18.40; =; 17.60; 20.00
517; FRAMBOISE France barq.125g ;28.00; =;  ;  
518; FRAMBOISE Maroc sous-abri barq.125g ;18.40; =; 17.60; 20.00
519; FRAMBOISE Portugal sous-abri barq.125g ;19.20; =; 18.40; 20.00
520; FRAMBOISE U.E. biologique barq.125g ;21.72;  ;  ;  
521; FRAMBOISE standard U.E. barq.125g ;18.70; -0.80; 16.00; 22.40
522; FRAMBOISE Espagne barq.125g ;18.40; +0.80; 17.60; 20.80
523; FRAMBOISE Maroc sous-abri barq.125g ;17.60; =;  ;  
524; FRAMBOISE Portugal barq.125g ;18.40; +0.80; 17.60; 20.80
525; FRAMBOISE U.E. biologique barq.125g ;17.98; -0.10; 16.40; 19.52
526; FRAMBOISE U.E. barq.125g ;20.40; =; 16.80; 24.40
527; AILLET botte (les 12 bottes) ;6.50; =;  ;  
528; AILLET Sud-Ouest botte ;1.00; =; 0.75; 1.10
529; CORIANDRE Méditerranée biologique (la botte) ;1.01;  ;  ;  
530; CORIANDRE Import botte (les 10 bottes) ;3.80; =; 3.50; 4.00
531; NAVET long-blanc Rhône-Alpes ;1.70; =;  ;  
532; NAVET rond violet Rhône-Alpes ;1.55; =;  ;  
533; NAVET rond blanc Val de Loire avec fane botte (la botte) (qte:botte(s)) ;0.80; =; 0.80; 0.80
534; NAVET jaune Sud-Ouest ;1.40; =; 1.40; 1.40
535; NAVET rond violet Sud-Ouest ;1.30; =;  ;  
536; NAVET rond violet Roussillon ;1.30; =; 1.20; 1.40
537; NAVET rond violet Roussillon botte (la botte) ;1.00; =; 1.00; 1.20
538; NAVET long-blanc Sud-Est plateau ;1.20; =; 1.00; 1.20
539; NAVET rond violet Sud-Est plateau ;1.00; =; 0.80; 1.20
540; NAVET rond violet Manche carton 5kg ;1.05; =; 0.90; 1.20
541; NAVET rond violet Manche sac 10kg ;0.92; =;  ;  
542; NAVET aplati primeur Pays de la Loire plateau 5kg ;1.35; =; 1.25; 1.40
543; NAVET Nord sac 10kg ;1.30; +0.10; 0.75; 2.30
544; NAVET France avec fane biologique (la botte) ;1.49; +0.04; 1.48; 1.50
545; NAVET jaune France biologique ;2.09; +0.27;  ;  
546; NAVET rond violet France biologique ;1.77; +0.04; 1.25; 2.04
547; NAVET France avec fane biologique (la botte) ;1.89; +0.01; 1.70; 2.13
548; NAVET jaune France biologique ;2.22; -0.01; 1.79; 2.86
549; NAVET rond violet France biologique ;1.99; +0.02; 1.46; 2.86
550; NAVET long-blanc France ;1.45; =;  ;  
551; NAVET rond violet France ;1.30; =; 1.10; 1.45
552; NAVET long-blanc France ;1.50; -0.05; 1.30; 1.60
553; NAVET rond violet France ;1.55; -0.05; 1.30; 1.71
554; NAVET jaune France plateau ;1.95; =;  ;  
555; NAVET rond violet France ;1.80; =; 1.50; 2.00
556; NAVET rond violet primeur France ;2.15; =; 1.60; 3.00
557; NAVET rond France ;1.20; +0.10; 1.10; 1.30
558; NAVET rond primeur Nantes ;1.80;  ;  ;  
559; NAVET long-blanc France ;1.40; +0.10; 1.30; 1.60
560; NAVET rond violet France ;1.50; +0.20; 1.50; 1.60
561; NAVET jaune France cagette ;1.75; =; 1.60; 1.90
562; NAVET primeur Val de Loire cagette ;1.60; =; 1.50; 1.70
563; NAVET rond violet Manche filet 5kg ;1.25; =; 1.20; 1.45
564; NAVET Val de Loire botte (la botte) ;1.40; =; 1.20; 1.50
565; NAVET France avec fane biologique (la botte) ;1.90; +0.01; 1.70; 2.06
566; NAVET jaune France biologique ;2.20; =; 1.80; 2.56
567; NAVET rond violet France biologique ;2.04; +0.05; 1.65; 2.55
568; NAVET long-blanc France ;1.80; =;  ;  
569; NAVET rond violet France ;1.80; =; 1.70; 2.00
570; NAVET rond violet France ;1.60; =; 1.30; 1.80
571; NAVET France avec fane biologique (la botte) ;1.85; -0.05; 1.75; 2.00
572; NAVET jaune France biologique ;2.23; -0.10; 2.15; 2.30
573; NAVET rond violet France biologique ;1.91; =; 1.80; 2.00
574; NAVET rond blanc France ;1.88; =; 1.50; 2.40
575; NAVET rond violet France ;1.97; =; 1.50; 2.40
576; NAVET jaune France biologique ;1.94; =; 1.79; 1.99
577; NAVET rond violet France biologique ;1.70; +0.07; 1.46; 2.20
578; NAVET jaune France cat.I ;1.80; =; 1.60; 2.10
579; NAVET rond violet France biologique ;3.37; +0.34; 2.76; 4.10
580; PIED DE MOUTON France coupé cat.I moyen plateau ;15.00; =;  ;  
581; PIED DE MOUTON Import cat.I moyen ;7.00; -1.50; 6.00; 8.00
582; ROMARIN France botte (les 10 bottes) ;5.80; =; 5.50; 6.00
583; CÉLERI-BRANCHE vert Sud-Ouest cat.I plateau ;1.40; =; 1.20; 2.00
584; CÉLERI-BRANCHE vert Roussillon ;1.20; =;  ;  
585; CÉLERI-BRANCHE vert Sud-Est plateau ;1.00; =; 1.00; 1.30
586; CÉLERI-BRANCHE vert Roussillon cat.I colis 5kg ;0.85; =; 0.75; 0.90
587; CÉLERI-BRANCHE Méditerranée biologique ;1.55; -0.05;  ;  
588; CÉLERI-BRANCHE France biologique ;1.28; -0.18; 1.00; 1.60
589; CÉLERI-BRANCHE Espagne coupé biologique cat.I (la pièce) ;1.05; +0.05; 0.90; 1.15
590; CÉLERI-BRANCHE vert Espagne cat.I ;0.55; =; 0.50; 0.60
591; CÉLERI-BRANCHE France biologique ;2.26; +0.09; 1.60; 2.86
592; CÉLERI-BRANCHE U.E. biologique ;1.53;  ;  ;  
593; CÉLERI-BRANCHE blanc Espagne coupé cat.I ;1.35; =; 1.20; 1.55
594; CÉLERI-BRANCHE vert France cat.I ;1.25; =; 1.20; 1.38
595; CÉLERI-BRANCHE vert Italie cat.I ;0.95; =; 0.90; 1.00
596; CÉLERI-BRANCHE vert France cat.I plateau ;1.40; =; 1.30; 1.64
597; CÉLERI-BRANCHE vert France cat.I plateau ;1.25; =; 1.20; 1.30
598; CÉLERI-BRANCHE vert Italie cat.I (la pièce) ;1.10; =; 1.10; 1.15
599; CÉLERI-BRANCHE vert France cat.I plateau ;1.25; +0.10; 1.20; 1.30
600; CÉLERI-BRANCHE vert France cat.I plateau ;1.35; =; 1.25; 1.40
601; CÉLERI-BRANCHE vert U.E. cat.I plateau ;1.30; =; 1.10; 1.60
602; CÉLERI-BRANCHE France biologique ;2.26; +0.15; 2.15; 2.45
603; CÉLERI-BRANCHE U.E. biologique ;1.53;  ;  ;  
604; CÉLERI-BRANCHE vert U.E. coupé cat.I ;1.20; =; 1.10; 1.30
605; CÉLERI-BRANCHE vert Italie cat.I ;1.10; =; 1.00; 1.30
606; CÉLERI-BRANCHE France biologique ;2.17; +0.14; 2.10; 2.25
607; CÉLERI-BRANCHE vert hors Fr. cat.I plateau ;1.50; =; 1.20; 1.75
608; CÉLERI-BRANCHE France biologique ;2.41; -0.02;  ;  
609; CÉLERI-BRANCHE vert France cat.I ;1.25; =; 1.20; 1.30
610; CÉLERI-BRANCHE vert Italie cat.I ;0.80; =;  ;  
611; CÉLERI-BRANCHE France biologique ;3.67; +0.01; 2.19; 5.90
612; LAITUE Batavia blonde Rhône-Alpes colis de 12 (la pièce) ;0.50; =; 0.50; 0.55
613; LAITUE Feuille de chêne blonde Rhône-Alpes colis de 12 (la pièce) ;0.50; =; 0.50; 0.55
614; LAITUE Feuille de chêne rouge Rhône-Alpes colis de 12 (la pièce) ;0.50; =; 0.50; 0.55
615; LAITUE pommée Rhône-Alpes colis de 12 (la pièce) ;0.50; =; 0.50; 0.55
616; LAITUE Batavia blonde Sud-Ouest cat.I colis de 12 (les 12 pièces) ;6.00; =; 6.00; 7.00
617; LAITUE Feuille de chêne blonde Sud-Ouest cat.I colis de 12 (les 12 pièces) ;6.00; =; 6.00; 7.00
618; LAITUE Feuille de chêne rouge Sud-Ouest cat.I colis de 12 (les 12 pièces) ;6.00; =; 6.00; 7.00
619; LAITUE pommée Sud-Ouest cat.I colis de 12 (les 12 pièces) ;6.00; =; 6.00; 7.00
620; LAITUE Sucrine Sud-Ouest cat.I colis de 12 (les 12 pièces) ;6.00;  ;  ;  
621; LAITUE Batavia blonde Sud-Est (la pièce) ;0.40; +0.03;  ;  
622; LAITUE Feuille de chêne blonde Sud-Est (la pièce) ;0.37; =; 0.30; 0.37
623; LAITUE Feuille de chêne rouge Sud-Est (la pièce) ;0.30; =; 0.25; 0.30
624; LAITUE pommée Sud-Est (la pièce) ;0.50; =; 0.42; 0.50
625; LAITUE Batavia blonde Sud-Ouest sous-abri cat.I colis de 12 (les 12 pièces) ;6.00; =; 6.00; 7.00
626; LAITUE Feuille de chêne blonde Sud-Ouest sous-abri cat.I colis de 12 (les 12 pièces) ;6.00; =; 6.00; 7.00
627; LAITUE Feuille de chêne rouge Sud-Ouest sous-abri cat.I colis de 12 (les 12 pièces) ;6.00; =; 6.00; 7.00
628; LAITUE pommée Sud-Ouest sous-abri cat.I colis de 12 (les 12 pièces) ;6.00; =; 6.00; 7.00
629; LAITUE Batavia blonde Roussillon colis de 12 (les 12 pièces) ;6.50; =; 6.00; 6.50
630; LAITUE Batavia rouge Roussillon colis de 12 (les 12 pièces) ;6.50; =; 6.00; 6.50
631; LAITUE Feuille de chêne blonde Roussillon colis de 12 (les 12 pièces) ;6.50; =; 6.00; 6.50
632; LAITUE Feuille de chêne rouge Roussillon colis de 12 (les 12 pièces) ;6.50; =; 6.00; 6.50
633; LAITUE pommée Roussillon colis de 12 (les 12 pièces) ;6.50; =; 6.00; 6.50
634; LAITUE Sucrine Roussillon colis de 12 (les 12 pièces) ;6.50; =; 6.00; 6.50
635; LAITUE Batavia blonde Sud-Est (la pièce) ;0.50; =;  ;  
636; LAITUE Feuille de chêne blonde Sud-Est (la pièce) ;0.50; =;  ;  
637; LAITUE Feuille de chêne rouge Sud-Est (la pièce) ;0.50; =;  ;  
638; LAITUE pommée Sud-Est (la pièce) ;0.50; =;  ;  
639; LAITUE Rougette Sud-Est (la pièce) ;0.50; =;  ;  
640; LAITUE Batavia blonde Rhône-Alpes cat.I colis de 12 (la pièce) ;0.53; =; 0.45; 0.55
641; LAITUE Feuille de chêne blonde Rhône-Alpes cat.I colis de 12 (la pièce) ;0.53; =;  ;  
642; LAITUE Feuille de chêne rouge Rhône-Alpes cat.I colis de 12 (la pièce) ;0.53; =;  ;  
643; LAITUE pommée Rhône-Alpes cat.I colis de 12 (la pièce) ;0.53; =;  ;  
644; LAITUE Batavia blonde Centre-Ouest cat.I colis de 12 (la pièce) ;0.50; =; 0.45; 0.50
645; LAITUE Feuille de chêne blonde Centre-Ouest cat.I colis de 12 (la pièce) ;0.52; =; 0.50; 0.55
646; LAITUE Feuille de chêne rouge Centre-Ouest cat.I colis de 12 (la pièce) ;0.52; =; 0.50; 0.55
647; LAITUE pommée Centre-Ouest cat.I colis de 12 (la pièce) ;0.52; =; 0.50; 0.55
648; LAITUE Batavia blonde Roussillon cat.I +350g colis de 12 (la pièce) ;0.40; =; 0.35; 0.45
649; LAITUE Feuille de chêne blonde Roussillon cat.I +350g colis de 12 (la pièce) ;0.40; =; 0.35; 0.45
650; LAITUE Feuille de chêne rouge Roussillon cat.I +350g colis de 12 (la pièce) ;0.45; =; 0.40; 0.50
651; LAITUE pommée Roussillon cat.I +350g colis de 12 (la pièce) ;0.45; =; 0.40; 0.55
652; LAITUE Batavia blonde Méditerranée biologique colis de 12 (la pièce) ;0.64; +0.03; 0.50; 0.78
653; LAITUE Batavia rouge Méditerranée biologique colis de 12 (la pièce) ;0.64; =; 0.50; 0.71
654; LAITUE Feuille de chêne blonde Méditerranée biologique colis de 12 (la pièce) ;0.62; -0.02; 0.60; 0.67
655; LAITUE Feuille de chêne rouge Méditerranée biologique colis de 12 (la pièce) ;0.66; =; 0.60; 0.71
656; LAITUE pommée Méditerranée biologique colis de 12 (la pièce) ;0.66; +0.02; 0.54; 0.78
657; LAITUE Batavia blonde Sud-Est cat.I (la pièce) ;0.49; =; 0.42; 0.57
658; LAITUE Feuille de chêne blonde Sud-Est cat.I (la pièce) ;0.49; +0.01; 0.42; 0.55
659; LAITUE Feuille de chêne rouge Sud-Est cat.I (la pièce) ;0.47; +0.01; 0.40; 0.50
