;Origine;libellé;Avril2020;Mai2020;Juin2020;Juil.2020;Août2020;Septe.2020;Octo.2020;Nove.2020;Déce.2020;Janv.2021;Févr.2021;Mars2021
143;Marché de Lyon-Corbas : fruits et légumes; COURGETTE verte France cat.I 14-21cm plateau (le kg) ; 2.23; 1.14; 1.13; 0.87; 1.03; 1.49; 2.19;  ;  ;  ;  ; 2.41
144;Marché de Lyon-Corbas : fruits et légumes; COURGETTE verte Italie cat.I 14-21cm plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 2.32;  ;  
145;Marché de Lyon-Corbas : fruits et légumes; COURGETTE verte Maroc cat.I 14-21cm plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ; 0.62; 0.60; 1.82; 0.76; 0.80
146;MIN d'Avignon-Cavaillon : fruits et légumes; COURGETTE ronde Espagne cat.I (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 2.62
147;MIN d'Avignon-Cavaillon : fruits et légumes; COURGETTE ronde France cat.I (le kg) ;  ;  ; 2.46; 2.30; 2.38; 2.48; 3.08; 3.18;  ;  ;  ;  
148;MIN d'Avignon-Cavaillon : fruits et légumes; COURGETTE verte Espagne cat.I 14-21cm (le kg) ; 2.10; 1.20;  ;  ;  ;  ; 2.65; 1.62; 1.22; 2.77; 1.50; 1.11
149;MIN d'Avignon-Cavaillon : fruits et légumes; COURGETTE verte France cat.I 14-21cm (le kg) ; 2.64; 1.43; 1.10; 1.15; 1.17; 1.54; 2.20; 2.01; 1.85;  ;  ; 2.65
150;MIN d'Avignon-Cavaillon : fruits et légumes; COURGETTE verte Italie cat.I (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 2.50;  ;  
151;MIN d'Avignon-Cavaillon : fruits et légumes; COURGETTE verte Maroc cat.I 14-21cm plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ; 0.87; 2.23; 1.06; 0.90
152;MIN de Bordeaux-Brienne : fruits et légumes; COURGETTE jaune France cat.I (le kg) ;  ;  ;  ; 1.75;  ;  ;  ;  ;  ;  ;  ;  
153;MIN de Bordeaux-Brienne : fruits et légumes; COURGETTE ronde France cat.I (le kg) ;  ;  ;  ; 1.91; 1.88; 2.07;  ;  ;  ;  ;  ;  
154;MIN de Bordeaux-Brienne : fruits et légumes; COURGETTE verte Espagne cat.I 14-21cm plateau (le kg) ;  ;  ;  ;  ;  ;  ; 2.48; 1.52; 1.32; 2.67; 1.44; 1.25
155;MIN de Bordeaux-Brienne : fruits et légumes; COURGETTE verte France cat.I 14-21cm plateau (le kg) ;  ;  ;  ; 1.14; 1.11; 1.67; 2.41;  ;  ;  ;  ; 2.75
156;MIN de Lomme-Lille : fruits et légumes; COURGETTE verte Espagne cat.I (le kg) ;  ;  ;  ;  ;  ;  ; 2.15; 1.33; 1.18; 2.67; 1.48; 1.06
157;MIN de Lomme-Lille : fruits et légumes; COURGETTE verte France cat.I plateau (le kg) ;  ;  ;  ;  ;  ; 1.55; 2.13;  ;  ;  ;  ;  
158;MIN de Marseille : fruits et légumes; COURGETTE verte Espagne cat.I 14-21cm (le kg) ;  ;  ;  ;  ;  ; 1.77; 2.12; 1.23; 0.98; 2.33; 1.26; 1.06
159;MIN de Marseille : fruits et légumes; COURGETTE verte France cat.I 14-21cm (le kg) ;  ;  ; 0.85; 0.84; 0.93; 1.50; 1.70;  ;  ;  ;  ;  
160;MIN de Marseille : fruits et légumes; COURGETTE verte Italie cat.I 14-21cm (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 2.45;  ;  
161;MIN de Marseille : fruits et légumes; COURGETTE verte Maroc cat.I 14-21cm (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ; 0.69; 1.94; 0.99; 0.75
162;MIN de Nantes : fruits et légumes; COURGETTE Espagne cat.I 14-21cm plateau (le kg) ; 2.00; 1.20;  ;  ;  ;  ; 2.57; 1.41; 1.27; 2.73; 1.45; 1.25
163;MIN de Nantes : fruits et légumes; COURGETTE France cat.I 14-21cm plateau (le kg) ; 2.71; 1.48; 1.27; 1.12; 1.21; 1.63; 2.25; 2.25;  ;  ;  ; 2.88
164;MIN de Nantes : fruits et légumes bio; COURGETTE ronde France biologique (le kg) ;  ;  ; 3.47; 2.46; 1.71; 2.46;  ;  ;  ;  ;  ;  
165;MIN de Nantes : fruits et légumes bio; COURGETTE verte France biologique (le kg) ;  ; 2.96; 1.87; 1.51; 1.27; 2.08; 2.98;  ;  ;  ;  ;  
166;MIN de Nantes : fruits et légumes bio; COURGETTE verte U.E. biologique (le kg) ; 2.46; 1.31; 1.34; 1.28;  ;  ; 3.15; 2.37; 1.60; 3.47; 2.26; 1.53
167;MIN de Nice : fruits et légumes; COURGETTE blanche France cat.I plateau (le kg) ;  ; 1.93; 1.96; 2.20;  ;  ;  ;  ;  ;  ;  ;  
168;MIN de Nice : fruits et légumes; COURGETTE blanche U.E. cat.I plateau (le kg) ; 1.86; 1.48; 1.80; 1.25;  ;  ;  ;  ;  ;  ;  ; 1.57
169;MIN de Nice : fruits et légumes; COURGETTE France cat.I fleur plateau (le kg) ;  ; 2.32; 3.40; 2.80; 2.40;  ;  ;  ;  ;  ;  ;  
170;MIN de Nice : fruits et légumes; COURGETTE ronde verte France cat.I (le kg) ;  ; 4.42; 3.62; 3.58; 3.92; 3.35;  ;  ;  ;  ;  ;  
171;MIN de Nice : fruits et légumes; COURGETTE ronde verte U.E. cat.I (le kg) ;  ; 1.76;  ;  ;  ;  ;  ;  ;  ;  ;  ; 3.28
172;MIN de Nice : fruits et légumes; COURGETTE U.E. cat.I fleur plateau (le kg) ; 2.74; 2.01; 2.60; 2.17; 2.52; 3.12; 4.16; 3.67; 4.77; 5.36; 4.40; 3.46
173;MIN de Nice : fruits et légumes; COURGETTE verte France cat.I 14-21cm colis 10kg (le kg) ; 2.75; 1.55; 1.30; 1.23; 1.23; 1.71; 2.55; 2.30;  ;  ;  ;  
174;MIN de Nice : fruits et légumes; COURGETTE verte Import cat.I 14-21cm colis 10kg (le kg) ;  ;  ;  ;  ;  ;  ;  ; 2.25; 0.92; 1.90; 1.29; 1.07
175;MIN de Nice : fruits et légumes; COURGETTE verte U.E. cat.I 14-21cm colis 10kg (le kg) ; 2.09; 1.18; 1.12; 1.06; 1.03;  ; 2.82; 1.67; 1.28; 2.52; 1.60; 1.40
176;MIN de Rungis : fruits et légumes 1; COURGETTE ronde Espagne cat.I plateau (le kg) ; 1.93;  ;  ;  ;  ;  ;  ; 2.60; 1.87; 3.16;  ; 2.10
177;MIN de Rungis : fruits et légumes 1; COURGETTE ronde France cat.I (le kg) ;  ;  ; 2.16; 1.29; 1.55; 2.46; 2.57;  ;  ;  ;  ;  
178;MIN de Rungis : fruits et légumes 1; COURGETTE verte Espagne cat.I 14-21cm (le kg) ; 1.66; 0.90; 0.84; 0.72; 0.83; 1.45; 2.08; 1.30; 1.04; 2.63; 1.21; 1.10
179;MIN de Rungis : fruits et légumes 1; COURGETTE verte France cat.I 14-21cm (le kg) ; 2.20; 1.20; 1.19; 0.98; 1.07; 1.58;  ;  ;  ;  ;  ;  
180;MIN de Rungis : fruits et légumes 1; COURGETTE verte Maroc cat.I 14-21cm (le kg) ;  ;  ;  ;  ;  ;  ;  ; 0.73; 0.76; 1.93; 0.83; 0.57
181;MIN de Rungis : fruits et légumes bio; COURGETTE ronde France biologique (le kg) ;  ;  ; 3.67; 2.57; 1.88; 2.63; 3.01; 3.75;  ;  ;  ;  
182;MIN de Rungis : fruits et légumes bio; COURGETTE ronde U.E. biologique (le kg) ;  ;  ;  ; 2.24;  ;  ;  ;  ;  ;  ;  ;  
183;MIN de Rungis : fruits et légumes bio; COURGETTE verte France biologique (le kg) ;  ; 2.71; 1.69; 1.53; 1.39; 2.23; 2.73; 3.99;  ;  ;  ;  
184;MIN de Rungis : fruits et légumes bio; COURGETTE verte U.E. biologique (le kg) ; 2.95; 1.25; 1.09; 1.05;  ; 2.26; 2.67; 2.16; 1.76; 3.23; 2.12; 1.42
185;MIN de Strasbourg : fruits et légumes; COURGETTE ronde France cat.I plateau (le kg) ;  ;  ;  ;  ; 2.65;  ;  ;  ;  ;  ;  ;  
186;MIN de Strasbourg : fruits et légumes; COURGETTE verte Espagne cat.I 14-21cm plateau (le kg) ;  ; 1.19; 1.01; 0.91; 0.97; 1.22; 2.23; 1.76; 1.34; 2.15; 1.64; 1.28
187;MIN de Strasbourg : fruits et légumes; COURGETTE verte France cat.I 14-21cm plateau (le kg) ;  ; 1.63; 1.52; 1.28; 1.15; 1.66; 1.88;  ;  ;  ;  ; 3.46
188;MIN de Strasbourg : fruits et légumes; COURGETTE verte Maroc cat.I 14-21cm plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ; 0.98; 2.41; 1.11; 1.02
189;MIN de Toulouse : fruits et légumes; COURGETTE verte Espagne cat.I 14-21cm plateau (le kg) ; 1.78; 0.88; 0.95; 0.82;  ; 1.13; 2.03; 1.16; 1.05; 2.41; 1.18; 1.07
190;MIN de Toulouse : fruits et légumes; COURGETTE verte France cat.I 14-21cm plateau (le kg) ; 2.69; 1.23; 1.19; 0.88; 1.00; 1.54; 1.70;  ;  ;  ;  ; 2.50
191;MIN de Toulouse : fruits et légumes; COURGETTE verte Maroc cat.I 14-21cm plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.95; 0.80;  
192;Bio magasins spécialisés (DRIVE); COURGETTE verte France biologique (le kg) ;  ;  ;  ;  ;  ;  ;  ; 4.80;  ;  ;  ;  
193;Bio magasins spécialisés (DRIVE); COURGETTE verte U.E. biologique (le kg) ;  ;  ;  ;  ;  ;  ;  ; 3.57; 3.08; 3.93; 4.71; 3.53
194;Légumes France DETAIL GMS; COURGETTE longue verte France biologique (le kg) ;  ;  ;  ;  ;  ;  ; 3.83;  ;  ;  ;  ;  
195;Légumes France DETAIL GMS; COURGETTE longue verte France filet 1kg (le kg) ;  ;  ;  ;  ;  ;  ; 2.37;  ;  ;  ;  ;  
196;Légumes France DETAIL GMS; COURGETTE longue verte France vrac (le kg) ;  ;  ;  ;  ;  ;  ; 2.82;  ;  ;  ;  ;  
197;Légumes France DETAIL GMS; COURGETTE longue verte hors Fr. biologique (le kg) ;  ;  ;  ;  ;  ;  ; 4.24; 4.09; 3.33; 4.76; 4.50; 3.48
198;Légumes France DETAIL GMS; COURGETTE longue verte hors Fr. filet 1kg (le kg) ;  ;  ;  ;  ;  ;  ; 2.55; 2.57; 1.84; 3.19; 2.33; 1.73
199;Légumes France DETAIL GMS; COURGETTE longue verte hors Fr. vrac (le kg) ;  ;  ;  ;  ;  ;  ; 2.89; 2.71; 2.00; 3.50; 2.54; 1.92
200;Marché de Lyon-Corbas carreau : fruits et légumes; ABRICOT Bergeron Rhône-Alpes cat.I 40-45mm (le kg) ;  ;  ;  ; 2.20;  ;  ;  ;  ;  ;  ;  ;  
201;Marché de Lyon-Corbas carreau : fruits et légumes; ABRICOT Bergeron Rhône-Alpes cat.I 45-50mm (le kg) ;  ;  ; 3.00; 2.70; 2.50;  ;  ;  ;  ;  ;  ;  
202;Marché de Lyon-Corbas carreau : fruits et légumes; ABRICOT Bergeron Rhône-Alpes cat.I 50-55mm (le kg) ;  ;  ;  ; 2.87; 2.80;  ;  ;  ;  ;  ;  ;  
203;Marché de Lyon-Corbas carreau : fruits et légumes; ABRICOT type orangé rouge Rhône-Alpes cat.I 40-45mm (le kg) ;  ;  ; 2.09; 2.10;  ;  ;  ;  ;  ;  ;  ;  
204;Marché de Lyon-Corbas carreau : fruits et légumes; ABRICOT type orangé rouge Rhône-Alpes cat.I 45-50mm (le kg) ;  ;  ; 2.54; 2.55;  ;  ;  ;  ;  ;  ;  ;  
205;Marché de Lyon-Corbas carreau : fruits et légumes; ABRICOT type orangé rouge Rhône-Alpes cat.I 50-55mm (le kg) ;  ;  ; 3.03; 2.79;  ;  ;  ;  ;  ;  ;  ;  
206;Marché de Perpignan carreau : fruits et légumes; ABRICOT Royal Roussillon Roussillon cat.I 45-50mm (le kg) ;  ;  ; 2.30; 2.00;  ;  ;  ;  ;  ;  ;  ;  
207;Marché de Perpignan carreau : fruits et légumes; ABRICOT Royal Roussillon Roussillon cat.I 50-55mm (le kg) ;  ;  ; 2.50; 2.50;  ;  ;  ;  ;  ;  ;  ;  
208;Marché de Perpignan carreau : fruits et légumes; ABRICOT type orangé rouge Roussillon cat.I 40-45mm (le kg) ;  ; 2.53;  ; 2.00; 2.00;  ;  ;  ;  ;  ;  ;  
209;Marché de Perpignan carreau : fruits et légumes; ABRICOT type orangé rouge Roussillon cat.I 45-50mm (le kg) ;  ; 2.83; 2.19; 2.35; 2.40;  ;  ;  ;  ;  ;  ;  
210;Marché de Perpignan carreau : fruits et légumes; ABRICOT type orangé rouge Roussillon cat.I 50-55mm (le kg) ;  ; 3.15; 2.44; 2.50; 2.50;  ;  ;  ;  ;  ;  ;  
211;MIN d'Agen carreau : fruits et légumes; ABRICOT Sud-Ouest cat.I 40-45mm (le kg) ;  ;  ;  ; 3.25;  ;  ;  ;  ;  ;  ;  ;  
212;MIN d'Agen carreau : fruits et légumes; ABRICOT Sud-Ouest cat.I 45-50mm (le kg) ;  ;  ; 4.00;  ;  ;  ;  ;  ;  ;  ;  ;  
213;MIN de Cavaillon carreau : fruits et légumes; ABRICOT type orangé rouge Sud-Est 40-45mm plateau (le kg) ;  ;  ;  ; 2.05;  ;  ;  ;  ;  ;  ;  ;  
214;MIN de Cavaillon carreau : fruits et légumes; ABRICOT type orangé rouge Sud-Est 45-50mm plateau (le kg) ;  ;  ;  ; 2.55;  ;  ;  ;  ;  ;  ;  ;  
215;MIN de Cavaillon carreau : fruits et légumes; ABRICOT type orangé rouge Sud-Est 50-55mm plateau (le kg) ;  ;  ;  ; 3.00;  ;  ;  ;  ;  ;  ;  ;  
216;MIN de Châteaurenard carreau : fruits et légumes; ABRICOT Bergarouge Sud-Est 45-50mm plateau (le kg) ;  ;  ; 2.45; 2.46;  ;  ;  ;  ;  ;  ;  ;  
217;MIN de Châteaurenard carreau : fruits et légumes; ABRICOT Bergarouge Sud-Est 50-55mm plateau (le kg) ;  ;  ; 2.96; 2.62;  ;  ;  ;  ;  ;  ;  ;  
218;MIN de Châteaurenard carreau : fruits et légumes; ABRICOT Bergeron Sud-Est 40-45mm plateau (le kg) ;  ;  ;  ; 1.50;  ;  ;  ;  ;  ;  ;  ;  
219;MIN de Châteaurenard carreau : fruits et légumes; ABRICOT Bergeron Sud-Est 45-50mm plateau (le kg) ;  ;  ; 1.80; 2.50;  ;  ;  ;  ;  ;  ;  ;  
220;MIN de Châteaurenard carreau : fruits et légumes; ABRICOT Bergeron Sud-Est 50-55mm plateau (le kg) ;  ;  ;  ; 2.30;  ;  ;  ;  ;  ;  ;  ;  
221;MIN de Châteaurenard carreau : fruits et légumes; ABRICOT Orangered Sud-Est 40-45mm plateau (le kg) ;  ;  ; 2.05;  ;  ;  ;  ;  ;  ;  ;  ;  
222;MIN de Châteaurenard carreau : fruits et légumes; ABRICOT Orangered Sud-Est 45-50mm plateau (le kg) ;  ;  ; 2.96;  ;  ;  ;  ;  ;  ;  ;  ;  
223;MIN de Châteaurenard carreau : fruits et légumes; ABRICOT Orangered Sud-Est 50-55mm plateau (le kg) ;  ;  ; 3.51;  ;  ;  ;  ;  ;  ;  ;  ;  
224;MIN de Châteaurenard carreau : fruits et légumes; ABRICOT Orangered Sud-Est 55-60mm plateau (le kg) ;  ;  ; 3.80;  ;  ;  ;  ;  ;  ;  ;  ;  
225;MIN de Châteaurenard carreau : fruits et légumes; ABRICOT type orangé rouge Sud-Est 35-40mm plateau (le kg) ;  ; 1.30;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
226;MIN de Châteaurenard carreau : fruits et légumes; ABRICOT type orangé rouge Sud-Est 40-45mm plateau (le kg) ;  ; 1.84; 1.77; 1.70;  ;  ;  ;  ;  ;  ;  ;  
227;MIN de Châteaurenard carreau : fruits et légumes; ABRICOT type orangé rouge Sud-Est 45-50mm plateau (le kg) ;  ; 2.80; 2.39; 2.30;  ;  ;  ;  ;  ;  ;  ;  
228;MIN de Châteaurenard carreau : fruits et légumes; ABRICOT type orangé rouge Sud-Est 50-55mm plateau (le kg) ;  ; 2.98; 2.63; 2.54;  ;  ;  ;  ;  ;  ;  ;  
229;MIN de Châteaurenard carreau : fruits et légumes; ABRICOT type orangé rouge Sud-Est 55-60mm plateau (le kg) ;  ; 2.80; 2.73; 2.60;  ;  ;  ;  ;  ;  ;  ;  
230;MIN de Châteaurenard carreau : fruits et légumes; ABRICOT type orange Sud-Est 40-45mm plateau (le kg) ;  ;  ;  ; 1.50;  ;  ;  ;  ;  ;  ;  ;  
231;MIN de Châteaurenard carreau : fruits et légumes; ABRICOT type orange Sud-Est 45-50mm plateau (le kg) ;  ;  ;  ; 1.83;  ;  ;  ;  ;  ;  ;  ;  
232;MIN de Châteaurenard carreau : fruits et légumes; ABRICOT type orange Sud-Est 50-55mm plateau (le kg) ;  ;  ;  ; 2.00;  ;  ;  ;  ;  ;  ;  ;  
233;MIN de Châteaurenard carreau : fruits et légumes; ABRICOT variétés tardives Sud-Est 40-45mm plateau (le kg) ;  ;  ;  ; 1.85;  ;  ;  ;  ;  ;  ;  ;  
234;MIN de Châteaurenard carreau : fruits et légumes; ABRICOT variétés tardives Sud-Est 45-50mm plateau (le kg) ;  ;  ;  ; 2.28;  ;  ;  ;  ;  ;  ;  ;  
235;MIN de Châteaurenard carreau : fruits et légumes; ABRICOT variétés tardives Sud-Est 50-55mm plateau (le kg) ;  ;  ;  ; 2.41;  ;  ;  ;  ;  ;  ;  ;  
236;Bassin Auvergne Rhône-Alpes : fruits d'été; ABRICOT Bergarouge Rhône-Alpes cat.I 45-50mm plateau (le kg) ;  ;  ; 2.50; 2.43;  ;  ;  ;  ;  ;  ;  ;  
237;Bassin Auvergne Rhône-Alpes : fruits d'été; ABRICOT Bergarouge Rhône-Alpes cat.I 50-55mm plateau (le kg) ;  ;  ; 2.80; 2.69;  ;  ;  ;  ;  ;  ;  ;  
238;Bassin Auvergne Rhône-Alpes : fruits d'été; ABRICOT Bergeron Rhône-Alpes cat.I 40-45mm plateau (le kg) ;  ;  ;  ; 2.01;  ;  ;  ;  ;  ;  ;  ;  
239;Bassin Auvergne Rhône-Alpes : fruits d'été; ABRICOT Bergeron Rhône-Alpes cat.I 45-50mm plateau (le kg) ;  ;  ;  ; 2.53;  ;  ;  ;  ;  ;  ;  ;  
240;Bassin Auvergne Rhône-Alpes : fruits d'été; ABRICOT Bergeron Rhône-Alpes cat.I 50-55mm plateau (le kg) ;  ;  ;  ; 2.65;  ;  ;  ;  ;  ;  ;  ;  
241;Bassin Auvergne Rhône-Alpes : fruits d'été; ABRICOT Bergeval Rhône-Alpes cat.I 45-50mm plateau (le kg) ;  ;  ; 2.50; 2.43;  ;  ;  ;  ;  ;  ;  ;  
242;Bassin Auvergne Rhône-Alpes : fruits d'été; ABRICOT Bergeval Rhône-Alpes cat.I 50-55mm plateau (le kg) ;  ;  ; 2.79; 2.69;  ;  ;  ;  ;  ;  ;  ;  
243;Bassin Auvergne Rhône-Alpes : fruits d'été; ABRICOT Orangered Rhône-Alpes cat.I 45-50mm plateau (le kg) ;  ;  ; 2.85;  ;  ;  ;  ;  ;  ;  ;  ;  
244;Bassin Auvergne Rhône-Alpes : fruits d'été; ABRICOT Orangered Rhône-Alpes cat.I 50-55mm plateau (le kg) ;  ;  ; 3.02;  ;  ;  ;  ;  ;  ;  ;  ;  
245;Bassin Auvergne Rhône-Alpes : fruits d'été; ABRICOT type orangé rouge Rhône-Alpes cat.I 40-45mm plateau (le kg) ;  ;  ; 1.80;  ;  ;  ;  ;  ;  ;  ;  ;  
246;Bassin Auvergne Rhône-Alpes : fruits d'été; ABRICOT type orangé rouge Rhône-Alpes cat.I 45-50mm plateau (le kg) ;  ; 2.45; 2.52;  ;  ;  ;  ;  ;  ;  ;  ;  
247;Bassin Auvergne Rhône-Alpes : fruits d'été; ABRICOT type orangé rouge Rhône-Alpes cat.I 50-55mm plateau (le kg) ;  ;  ; 2.75;  ;  ;  ;  ;  ;  ;  ;  ;  
248;Bassin Auvergne Rhône-Alpes : fruits d'été; ABRICOT variétés tardives Rhône-Alpes cat.I 40-45mm plateau (le kg) ;  ;  ;  ; 2.10;  ;  ;  ;  ;  ;  ;  ;  
249;Bassin Auvergne Rhône-Alpes : fruits d'été; ABRICOT variétés tardives Rhône-Alpes cat.I 45-50mm plateau (le kg) ;  ;  ;  ; 2.51; 2.73;  ;  ;  ;  ;  ;  ;  
250;Bassin Auvergne Rhône-Alpes : fruits d'été; ABRICOT variétés tardives Rhône-Alpes cat.I 50-55mm plateau (le kg) ;  ;  ;  ; 2.80; 2.96;  ;  ;  ;  ;  ;  ;  
251;Bassin Roussillon : fruits et légumes; ABRICOT AOP Rouges du Roussillon cat.I 40-45mm (le kg) ;  ;  ; 2.23; 2.30;  ;  ;  ;  ;  ;  ;  ;  
252;Bassin Roussillon : fruits et légumes; ABRICOT AOP Rouges du Roussillon cat.I 45-50mm (le kg) ;  ;  ; 2.60; 2.60;  ;  ;  ;  ;  ;  ;  ;  
253;Bassin Roussillon : fruits et légumes; ABRICOT Solédane Roussillon cat.I 40-45mm plateau (le kg) ;  ; 1.50;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
254;Bassin Roussillon : fruits et légumes; ABRICOT Solédane Roussillon cat.I 45-50mm plateau (le kg) ;  ; 1.80; 1.65;  ;  ;  ;  ;  ;  ;  ;  ;  
255;Bassin Roussillon : fruits et légumes; ABRICOT Solédane Roussillon cat.I 50-55mm plateau (le kg) ;  ; 2.00;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
256;Bassin Roussillon : fruits et légumes; ABRICOT type orangé rouge Roussillon cat.I 40-45mm plateau (le kg) ;  ; 2.02; 1.90; 2.00;  ;  ;  ;  ;  ;  ;  ;  
257;Bassin Roussillon : fruits et légumes; ABRICOT type orangé rouge Roussillon cat.I 45-50mm plateau (le kg) ;  ; 2.33; 2.44; 2.40;  ;  ;  ;  ;  ;  ;  ;  
258;Bassin Roussillon : fruits et légumes; ABRICOT type orangé rouge Roussillon cat.I 50-55mm plateau (le kg) ;  ; 2.58; 2.73; 2.70;  ;  ;  ;  ;  ;  ;  ;  
259;Bassins Sud-Est et Roussillon : fruits et légumes bio; ABRICOT type orangé rouge Méditerranée biologique 35-40mm plateau (le kg) ;  ;  ; 3.67; 4.00;  ;  ;  ;  ;  ;  ;  ;  
260;Bassins Sud-Est et Roussillon : fruits et légumes bio; ABRICOT type orangé rouge Méditerranée biologique 40-45mm plateau (le kg) ;  ; 3.84; 4.00; 4.09;  ;  ;  ;  ;  ;  ;  ;  
261;Bassins Sud-Est et Roussillon : fruits et légumes bio; ABRICOT type orangé rouge Méditerranée biologique 45-50mm plateau (le kg) ;  ; 4.50; 4.24; 4.27;  ;  ;  ;  ;  ;  ;  ;  
262;Bassins Sud-Est et Roussillon : fruits et légumes bio; ABRICOT type orangé rouge Méditerranée biologique 50-55mm plateau (le kg) ;  ;  ; 4.30; 4.40;  ;  ;  ;  ;  ;  ;  ;  
263;Bassin Sud-Est : fruits et légumes 2; ABRICOT Bergarouge Sud-Est cat.I 40-45mm plateau (le kg) ;  ;  ; 1.95; 2.00;  ;  ;  ;  ;  ;  ;  ;  
264;Bassin Sud-Est : fruits et légumes 2; ABRICOT Bergarouge Sud-Est cat.I 45-50mm plateau (le kg) ;  ;  ; 2.61; 2.56;  ;  ;  ;  ;  ;  ;  ;  
265;Bassin Sud-Est : fruits et légumes 2; ABRICOT Bergarouge Sud-Est cat.I 50-55mm plateau (le kg) ;  ;  ; 2.81; 2.80;  ;  ;  ;  ;  ;  ;  ;  
266;Bassin Sud-Est : fruits et légumes 2; ABRICOT Bergarouge Sud-Est cat.I 50-55mm plateau 1rg (le kg) ;  ;  ; 3.25;  ;  ;  ;  ;  ;  ;  ;  ;  
267;Bassin Sud-Est : fruits et légumes 2; ABRICOT Bergeron Sud-Est cat.I 40-45mm plateau (le kg) ;  ;  ;  ; 1.87;  ;  ;  ;  ;  ;  ;  ;  
268;Bassin Sud-Est : fruits et légumes 2; ABRICOT Bergeron Sud-Est cat.I 45-50mm plateau (le kg) ;  ;  ;  ; 2.49;  ;  ;  ;  ;  ;  ;  ;  
269;Bassin Sud-Est : fruits et légumes 2; ABRICOT Bergeron Sud-Est cat.I 50-55mm plateau (le kg) ;  ;  ;  ; 2.75;  ;  ;  ;  ;  ;  ;  ;  
270;Bassin Sud-Est : fruits et légumes 2; ABRICOT Orangered Sud-Est cat.I 40-45mm plateau (le kg) ;  ;  ; 2.52;  ;  ;  ;  ;  ;  ;  ;  ;  
271;Bassin Sud-Est : fruits et légumes 2; ABRICOT Orangered Sud-Est cat.I 45-50mm plateau (le kg) ;  ;  ; 2.83;  ;  ;  ;  ;  ;  ;  ;  ;  
272;Bassin Sud-Est : fruits et légumes 2; ABRICOT Orangered Sud-Est cat.I 50-55mm plateau (le kg) ;  ;  ; 3.06;  ;  ;  ;  ;  ;  ;  ;  ;  
273;Bassin Sud-Est : fruits et légumes 2; ABRICOT type orangé rouge Sud-Est cat.I 35-40mm barq.1kg (le kg) ;  ; 2.05; 1.68; 1.73;  ;  ;  ;  ;  ;  ;  ;  
274;Bassin Sud-Est : fruits et légumes 2; ABRICOT type orangé rouge Sud-Est cat.I 40-45mm barq.1kg (le kg) ;  ; 2.30; 2.00; 2.01;  ;  ;  ;  ;  ;  ;  ;  
275;Bassin Sud-Est : fruits et légumes 2; ABRICOT type orangé rouge Sud-Est cat.I 40-45mm plateau (le kg) ;  ; 2.19; 2.04; 2.00;  ;  ;  ;  ;  ;  ;  ;  
276;Bassin Sud-Est : fruits et légumes 2; ABRICOT type orangé rouge Sud-Est cat.I 45-50mm plateau (le kg) ;  ; 2.66; 2.55; 2.48;  ;  ;  ;  ;  ;  ;  ;  
277;Bassin Sud-Est : fruits et légumes 2; ABRICOT type orangé rouge Sud-Est cat.I 50-55mm plateau (le kg) ;  ; 2.81; 2.74; 2.59;  ;  ;  ;  ;  ;  ;  ;  
278;Bassin Sud-Est : fruits et légumes 2; ABRICOT type orangé rouge Sud-Est cat.I 50-55mm plateau 1rg (le kg) ;  ; 3.29; 3.28; 3.03;  ;  ;  ;  ;  ;  ;  ;  
279;Bassin Sud-Est : fruits et légumes 2; ABRICOT type orangé rouge Sud-Est cat.I 55-60mm plateau 1rg (le kg) ;  ;  ; 3.40; 3.14;  ;  ;  ;  ;  ;  ;  ;  
280;Bassin Sud-Est : fruits et légumes 2; ABRICOT variétés tardives Sud-Est cat.I 40-45mm plateau (le kg) ;  ;  ;  ; 2.04;  ;  ;  ;  ;  ;  ;  ;  
281;Bassin Sud-Est : fruits et légumes 2; ABRICOT variétés tardives Sud-Est cat.I 45-50mm plateau (le kg) ;  ;  ;  ; 2.58;  ;  ;  ;  ;  ;  ;  ;  
282;Bassin Sud-Est : fruits et légumes 2; ABRICOT variétés tardives Sud-Est cat.I 50-55mm plateau (le kg) ;  ;  ;  ; 2.76;  ;  ;  ;  ;  ;  ;  ;  
283;Bassin Sud-Est : fruits et légumes 2; ABRICOT variétés tardives Sud-Est cat.I 50-55mm plateau 1rg (le kg) ;  ;  ;  ; 3.23;  ;  ;  ;  ;  ;  ;  ;  
284;Bassin Sud-Est : fruits et légumes 2; ABRICOT variétés tardives Sud-Est cat.I 55-60mm plateau 1rg (le kg) ;  ;  ;  ; 3.19;  ;  ;  ;  ;  ;  ;  ;  
